타임스탬프,0. 당신의 성함,0. 당신의 이상형,1-1. 희망하는 자녀 수,1-2. 희망하는 자녀 구성,1-3. 자녀 갖고 싶은 시기,1-4. 생물학적 출산이 어려움 발생 시 대안,"""1. 자녀 계획 및 가족 구성 항목""에 대해 중요도 ","아이가 ""오늘만 양치 안하고 그냥 자면 안돼요? 라고 칭얼거릴 때 어떻게 하시겠습니까?  ",평소 밤 9시에 자기로 약속했습니다. 그런데 오늘 아이가 읽고 싶어 하던 동화책 시리즈의 마지막 권을 다 읽고 싶다며 30분만 더 시간을 달라고 합니다.,"경쟁 상황에서의 태도 아이가 운동 경기나 대회에서 아쉽게 2등을 했습니다. 아이는 충분히 잘했다고 기뻐하는데, 당신의 마음속 생각은?","재능 발견과 교육 아이가 특정 분야(예: 피아노, 운동)에 천재적인 재능을 보입니다. 이때 당신의 교육 방향은?","두 사람의 훈육 방식이 부딪힐 때, 누구의 의견을 따라야 한다고 생각하시나요?","한 명은 퇴근 후 아이와 놀아주고, 한 명은 밀린 집안일을 해야 하는 상황입니다.",맞벌이 상황 등에서 조부모님이 아이를 봐주겠다고 제안하신다면?,"양가 어르신들이 본인의 가치관과 다른 육아 조언(예: ""애를 너무 손타게 키운다"", ""사탕 좀 주면 어떠냐"")을 하실 때 당신의 생각은?","주말에 아이와 동물원에 가기로 했는데, 아침에 일어나니 갑자기 비가 옵니다. 이때 당신의 반응은?",아이의 교육 자금이나 미래 리스크를 대비하는 당신의 생각은?,4-1. 자녀 교육비/양육비 지출 비중,"4-2. 육아 휴직, 양육 부담","""4. 경제적 지원 및 가사 분담""에 대해 중요도 ","5-1. 자녀 가치관, 어떤 사람이 되길 바라는가? ","""5. 자녀 가치관""에 대해 중요도 ",Unnamed: 23
2026/02/27 8:33:51 PM GMT+9,최미정,곰상,2명,오직 딸,결혼 후 3~5년 이내,입양 고려,4,2,4,5,4,1,2,4,4,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 9:00:27 PM GMT+9,김말이,여우상,1명,오직 딸,결혼 후 1~2년 이내,무자녀,3,2,4,4,4,5,2,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 9:00:31 PM GMT+9,김한별,쿼카상,1명,오직 딸,경제적 안정 후,입양 고려,4,2,5,5,2,4,2,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 9:02:45 PM GMT+9,ㅁㅎ,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,3,2,5,5,2,3,2,4,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",5,
2026/02/27 9:23:45 PM GMT+9,강우엉,고양이상,1명,오직 딸,경제적 안정 후,입양 고려,3,2,4,4,4,2,1,3,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/02/27 9:38:13 PM GMT+9,임세희,여우상,1명,오직 딸,경제적 안정 후,무자녀,2,1,4,5,5,2,1,3,2,2,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 10:52:12 PM GMT+9,하준우,오리상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,2,3,3,4,2,5,4,3,1,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/02/28 12:46:55 AM GMT+9,샌새,고양이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;무자녀,2,4,4,5,2,1,2,4,4,5,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/03/01 12:19:03 AM GMT+9,이지현,강아지상,3명,아들1 딸2,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,2,3,4,5,5,4,5,4,3,5,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",3,
2026/03/01 4:42:55 AM GMT+9,최서진,곰상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,4,1,4,3,1,5,5,4,3,1,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/03/01 3:31:04 PM GMT+9,이은수,토끼상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,5,5,5,3,3,5,3,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/03/01 10:53:28 PM GMT+9,민채영,곰상,3명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,무자녀,1,5,5,5,5,5,5,5,3,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",3,
2026/03/03 9:55:08 AM GMT+9,유현희,곰상,1명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,2,1,5,4,4,4,4,4,3,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",5,
2026/02/24 5:37:18 AM GMT+9,윤서나,오리상,1명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,2,5,4,4,2,1,2,4,4,5,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",4,
2026/02/25 7:42:53 AM GMT+9,권은준,고양이상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,4,3,4,4,2,4,4,4,4,3,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",2,
2026/02/20 6:48:58 AM GMT+9,강린지,강아지상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려;무자녀;의학적 도움 적극 시도,4,1,5,5,4,1,2,4,4,4,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",2,
2026/03/03 6:06:42 PM GMT+9,강태성,곰상,3명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,2,5,5,5,5,5,5,2,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",3,
2026/02/27 2:51:11 PM GMT+9,이경온,여우상,1명,오직 딸,경제적 안정 후,무자녀,4,2,5,4,3,4,2,4,2,2,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",5,
2026/02/23 2:44:12 PM GMT+9,권훈나,여우상,2명,오직 딸,결혼 후 3~5년 이내,무자녀,4,1,4,5,2,4,5,3,3,1,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",3,
2026/02/28 4:01:36 AM GMT+9,김연린,곰상,1명,오직 딸,결혼 후 1~2년 이내,입양 고려;무자녀,2,2,4,4,4,5,2,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/03/03 1:07:19 PM GMT+9,송하태,토끼상,2명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,1,5,5,5,1,5,5,3,3,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"회복탄력성, 생활력 강한 사람",3,
2026/02/22 2:55:07 PM GMT+9,조수도,여우상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,2,5,4,5,2,4,1,5,2,3,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",2,
2026/03/01 6:24:50 PM GMT+9,문아주,곰상,1명,오직 딸,경제적 안정 후,무자녀;입양 고려,2,3,5,4,4,4,4,5,3,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",5,
2026/02/22 6:56:15 AM GMT+9,박호온,토끼상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,3,1,4,3,5,4,2,4,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"경제적 성공, 사회적 지위",2,
2026/03/01 11:47:03 AM GMT+9,손수림,고양이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;무자녀,4,2,4,4,2,3,2,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,건강한 생활 습관을 가진 사람,5,
2026/02/26 3:47:58 PM GMT+9,양경우,햄스터상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀;의학적 도움 적극 시도,2,1,4,4,2,1,5,5,2,2,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/27 3:46:02 AM GMT+9,권림수,곰상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,2,4,5,5,4,4,5,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"도덕적, 타인 배려",1,
2026/02/22 8:20:46 AM GMT+9,조도나,고양이상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,4,1,5,5,4,4,5,3,3,4,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 3:28:02 PM GMT+9,양연라,쿼카상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,1,4,4,5,5,5,4,3,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",1,"회복탄력성, 생활력 강한 사람",1,
2026/02/24 8:07:14 PM GMT+9,신나우,여우상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려,2,5,5,5,4,4,5,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",4,
2026/02/20 11:41:18 AM GMT+9,한온별,판다상,3명,아들1 딸2,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,2,1,4,5,2,5,5,4,3,5,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",5,
2026/02/23 11:54:26 PM GMT+9,심도나,곰상,2명,오직 딸,경제적 안정 후,무자녀;입양 고려,2,3,5,5,5,5,3,2,3,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",1,
2026/02/28 1:07:55 AM GMT+9,권찬현,강아지상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,5,4,5,3,5,2,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/03/01 3:17:52 PM GMT+9,권지찬,곰상,1명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,4,5,5,5,5,2,4,5,2,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",2,
2026/03/02 9:15:36 AM GMT+9,송우태,여우상,2명,"딸 1명, 아들 1명",결혼 즉시,의학적 도움 적극 시도;입양 고려,5,1,4,5,4,4,1,1,2,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,다른 사람을 존중하고 협력하는 사람,3,
2026/03/02 7:47:55 PM GMT+9,유태솔,여우상,2명,오직 딸,결혼 후 3~5년 이내,입양 고려,4,1,4,5,4,3,5,4,4,4,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/21 4:09:31 AM GMT+9,배호하,늑대상,3명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,4,3,4,4,3,4,5,4,3,4,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",2,
2026/02/27 2:25:01 PM GMT+9,장별온,늑대상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,1,1,5,5,4,2,5,4,1,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/02/28 11:45:47 AM GMT+9,안린윤,강아지상,1명,오직 딸,결혼 후 3~5년 이내,무자녀,3,2,4,3,4,1,1,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",2,
2026/03/03 5:55:23 PM GMT+9,양성은,늑대상,2명,되는대로,결혼 후 1~2년 이내,입양 고려,1,3,4,5,3,4,5,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/02/25 4:23:56 PM GMT+9,하수현,쿼카상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,2,1,3,4,2,5,4,3,1,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/02/22 6:04:52 AM GMT+9,윤하연,쿼카상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도;입양 고려,1,3,1,4,5,5,5,4,3,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,배려와 선의를 실천하는 사람,1,
2026/02/28 2:13:26 PM GMT+9,허우도,여우상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,1,1,5,4,2,2,5,2,4,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/03/02 4:28:00 PM GMT+9,손호겸,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,3,2,4,5,2,3,5,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",5,
2026/02/22 8:06:38 PM GMT+9,김영온,고양이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,3,5,5,2,4,5,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",5,
2026/02/24 7:48:26 AM GMT+9,고영림,오리상,3명,딸2 아들1,결혼 후 1~2년 이내,무자녀;의학적 도움 적극 시도,1,2,5,5,4,4,5,5,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/02/22 9:17:54 PM GMT+9,한호민,강아지상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,1,1,5,4,2,2,5,2,4,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",1,"도덕적, 타인 배려",1,
2026/02/21 1:38:44 AM GMT+9,오담준,토끼상,3명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,1,5,4,5,2,2,5,2,4,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",1,
2026/02/28 10:14:06 PM GMT+9,홍담경,오리상,2명,오직 딸,결혼 후 3~5년 이내,입양 고려,4,2,5,5,4,1,5,5,4,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/20 2:25:24 PM GMT+9,임라연,곰상,2명,딸2 아들1,결혼 후 3~5년 이내,무자녀,3,2,5,5,2,3,2,4,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,정서적으로 안정되고 공감할 줄 아는 사람,3,
2026/02/28 1:53:32 AM GMT+9,김찬솔,꽃돼지상,1명,오직 딸,경제적 안정 후,무자녀,2,1,4,5,5,2,1,3,2,4,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/25 7:12:54 PM GMT+9,이영라,강아지상,1명,오직 딸,결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,3,5,4,5,5,5,5,4,3,4,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",3,
2026/02/26 10:12:37 PM GMT+9,황현별,강아지상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,2,2,5,5,3,4,5,4,3,4,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,다른 사람을 존중하고 협력하는 사람,4,
2026/03/02 1:54:08 AM GMT+9,강수솔,곰상,2명,오직 딸,경제적 안정 후,무자녀,1,1,5,5,3,4,1,4,3,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",4,
2026/03/02 6:35:00 AM GMT+9,장은율,여우상,2명,되는대로,결혼 즉시,무자녀;입양 고려;의학적 도움 적극 시도,2,2,4,5,5,4,4,2,1,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,자기주도적으로 배우고 성장하는 사람,3,
2026/02/26 10:17:42 AM GMT+9,한주겸,오리상,3명,오직 딸,결혼 후 1~2년 이내,무자녀,2,3,1,5,4,4,5,4,2,5,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,책임감 있고 약속을 지키는 사람,1,
2026/02/28 11:58:19 PM GMT+9,허태온,강아지상,2명,오직 딸,경제적 안정 후,무자녀,2,3,4,3,3,5,2,3,2,2,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",1,
2026/03/02 10:08:13 PM GMT+9,홍윤라,여우상,그 이상,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,1,4,4,4,4,5,3,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
